timestamp,service,metric,value
2026-07-14T01:40:00Z,checkout-service,p95_latency_ms,118
2026-07-14T01:45:00Z,checkout-service,p95_latency_ms,122
2026-07-14T01:50:00Z,checkout-service,p95_latency_ms,115
2026-07-14T01:55:00Z,checkout-service,p95_latency_ms,120
2026-07-14T02:00:00Z,checkout-service,p95_latency_ms,310
2026-07-14T02:05:00Z,checkout-service,p95_latency_ms,540
2026-07-14T02:10:00Z,checkout-service,p95_latency_ms,610
2026-07-14T02:15:00Z,checkout-service,p95_latency_ms,650
2026-07-14T01:40:00Z,checkout-service,error_rate_pct,0.4
2026-07-14T01:45:00Z,checkout-service,error_rate_pct,0.5
2026-07-14T01:50:00Z,checkout-service,error_rate_pct,0.4
2026-07-14T01:55:00Z,checkout-service,error_rate_pct,0.5
2026-07-14T02:00:00Z,checkout-service,error_rate_pct,2.1
2026-07-14T02:05:00Z,checkout-service,error_rate_pct,5.3
2026-07-14T02:10:00Z,checkout-service,error_rate_pct,6.8
2026-07-14T02:15:00Z,checkout-service,error_rate_pct,7.2
2026-07-14T01:40:00Z,checkout-service,requests_per_sec,340
2026-07-14T01:45:00Z,checkout-service,requests_per_sec,352
2026-07-14T01:50:00Z,checkout-service,requests_per_sec,338
2026-07-14T01:55:00Z,checkout-service,requests_per_sec,345
2026-07-14T02:00:00Z,checkout-service,requests_per_sec,330
2026-07-14T02:05:00Z,checkout-service,requests_per_sec,301
2026-07-14T02:10:00Z,checkout-service,requests_per_sec,288
2026-07-14T02:15:00Z,checkout-service,requests_per_sec,275
2026-05-22T14:25:00Z,checkout-service,p95_latency_ms,124
2026-05-22T14:30:00Z,checkout-service,p95_latency_ms,119
2026-05-22T14:35:00Z,checkout-service,p95_latency_ms,121
2026-05-22T14:40:00Z,checkout-service,p95_latency_ms,610
2026-05-22T14:45:00Z,checkout-service,p95_latency_ms,690
2026-05-22T14:50:00Z,checkout-service,p95_latency_ms,655
2026-05-22T15:10:00Z,checkout-service,p95_latency_ms,130
2026-05-22T14:25:00Z,checkout-service,error_rate_pct,0.3
2026-05-22T14:30:00Z,checkout-service,error_rate_pct,0.4
2026-05-22T14:35:00Z,checkout-service,error_rate_pct,0.4
2026-05-22T14:40:00Z,checkout-service,error_rate_pct,4.2
2026-05-22T14:45:00Z,checkout-service,error_rate_pct,8.6
2026-05-22T14:50:00Z,checkout-service,error_rate_pct,9.0
2026-05-22T15:10:00Z,checkout-service,error_rate_pct,0.5
